"","precinct","X","Y","black","blackpct","white","whitepct","black_edudiff","black_edudiff_se","white_edudiff","white_edudiff_se","edu_dif","pop18","coef_linquad_white","coef_quad_white","coef_lin_white","sig_linquad_white","sig_quad_white","sig_lin_white","fscore_white","fscore_sig_white","coef_linquad_black","coef_quad_black","coef_lin_black","sig_linquad_black","sig_quad_black","sig_lin_black","fscore_black","fscore_sig_black","coef_all_lin","coef_all_linquad","sig_all_lin","sig_all_linquad"
"424","9001486A",-118.379183795158,34.0472948081937,167,0.244509516837482,398,0.582723279648609,0.080664671745498,6.59136048886093,0.041303310300013,10.5172906976062,0.05176035931614,683,-0.0349605646448894,0.00794248171539638,-0.0131052620569779,1.0713389954648e-10,2.90826969669918e-05,3.97261919260392e-22,57.3815049742327,7.89012343488605e-25,0.00897350996151692,-0.00386782878268797,-0.00147898024738236,0.0522635180251449,0.0192209073631229,0.2201972350147,3.50009163547976,0.0304159104161525,-0.0166288187521836,0.0195673106309614,0.00189512168311522,0.00759946962683502
"425","9001490A",-118.379031272031,34.0414060651341,772,0.575689783743475,124,0.092468307233408,0.001960565726832,10.4744455013207,0.012310456451442,4.281031677949,-0.005467468562056,1341,-0.0358354406195471,0.00826337965931521,-0.0133550758029815,6.01020923841993e-10,5.96717451622503e-05,2.773172345398e-21,54.6030663919032,1.0667017233439e-23,0.00972284090584545,-0.00422184231790221,-0.00143428026154045,0.040863494858329,0.015138618946288,0.245167443284984,3.63399895732408,0.0266190495519173,-0.0168510411579721,0.0198442290683512,0.00194626773002797,0.00784301722039321
"426","9001492A",-118.385714968635,34.0447390184502,148,0.197860962566845,426,0.56951871657754,0.064141339505222,6.30600787987505,0.050949711673308,9.89054892090305,0.050761184271972,748,-0.0354189495501506,0.00809468920738099,-0.0132232164320205,1.2644815767227e-10,3.02789458436553e-05,3.09357752566212e-22,57.6049911012618,6.40128133855388e-25,0.0108857194880922,-0.00446518342223884,-0.00121987331382877,0.0209902398863341,0.00792985465740889,0.313981836425585,4.0421865528277,0.017730810416495,-0.015529297537232,0.0256330738345077,0.00190236641990301,0.00766815762495582
"427","9001497A",-118.381966586031,34.038686330494,328,0.299543378995434,364,0.332420091324201,0.071288462016677,7.37525623955572,0.060982359349118,6.39047877424567,0.059139248919907,1095,-0.0360328676844243,0.00833454965870034,-0.0134682259462042,1.24745079990257e-09,8.53159757515691e-05,4.51251570326893e-21,53.7302730120274,2.42125291993068e-23,0.0108433418019195,-0.0046108088832362,-0.0012965003636637,0.0251264166354244,0.00949898851162857,0.297637715079228,3.91561170412602,0.02011125202296,-0.016335828879056,0.0230454189944937,0.00196352534660211,0.00793642826844681
"428","9001502A",-118.405692854207,34.0198455097847,227,0.118106139438085,1046,0.544224765868887,0.077802450964454,6.51477846391008,0.098433700953606,8.44326937463795,0.092353907774469,1922,-0.0243635696399673,0.00418401895137247,-0.0133724765877825,0.000186034109519826,0.082240911944626,7.35685616264953e-18,39.461067215647,1.79566231107905e-17,0.0188340220480599,-0.00720436544924656,-7.42174427081329e-05,0.000370594454835379,0.000226268741721113,0.954739981162013,6.83103686842684,0.00111011025268876,-0.0106769936386141,0.0477321425917839,0.00202926647871651,0.00800947408900142
"429","9001522A",-118.415188977431,34.02806428125,113,0.062708102108768,1273,0.706437291897891,0.074503834664003,6.03910777259693,0.045162108724998,13.6508136025528,0.039738204950455,1802,-0.0272104475714487,0.00520026089501882,-0.0131524615417326,5.51860368649526e-06,0.0154081006586959,7.77093268590846e-20,45.6804224401277,4.83042238082778e-20,0.0179886108968802,-0.00654905275624975,-6.89357459027174e-07,0.000336821848669525,0.000215328163990996,0.999558491315693,6.87633653156403,0.00106133527735747,-0.00971550487449738,0.0487514887208042,0.00192602244759173,0.00757364922623092
"430","9001535A",-118.411814928682,34.018893944186,173,0.112337662337662,717,0.465584415584416,0.068385187608683,6.01478300015434,0.090266643765904,8.00096870562302,0.069651741293532,1540,-0.0214364062248923,0.00315146454570142,-0.0131313774204707,0.000829257301110022,0.181784758506734,1.5351088558362e-17,38.0543555419867,6.88809535270458e-17,0.0193126161763945,-0.00721263251252966,0.000138421544110507,0.00022667538852888,0.000158147787207413,0.915093851138623,7.17472279498562,0.000789485931368268,-0.00942390763324959,0.0509358168567009,0.00200459045093017,0.00784547776258597
"431","9001542A",-118.469333557376,33.9993594897872,161,0.125,451,0.350155279503106,0.066310773191221,6.26218042508018,0.022290232206576,5.11189836120129,0.024317607673191,1288,0.00858145365968218,-0.00645277131698356,-0.00951661768533995,0.10833712305867,0.000428421702274672,2.76952401044874e-10,26.5251099252837,4.56207624547348e-12,0.0182533116313963,-0.00537560614410797,0.0017918102956254,0.000100287963580199,0.000271314745135123,0.153426295187497,7.685048552472,0.000476062479354398,-0.000743995804727875,0.0569904578566385,0.00187422420978944,0.00711310704746996
"432","9001545A",-118.468643820037,33.992643422342,285,0.249562171628722,408,0.357267950963222,0.049371993613568,7.31558094780665,0.036342938117681,6.64383499612544,0.035046556310967,1142,0.0099671958024009,-0.00686200169421611,-0.00909581890703625,0.0686410179870456,0.000289960791901516,4.96312501622092e-09,24.0037848106816,5.27301141907504e-11,0.0186344328328013,-0.00545971524926875,0.00197299827045348,0.000117475275610998,0.000353999960812132,0.124271896327114,7.5974590494122,0.00051922937368129,2.90669315110754e-05,0.0581572858804704,0.00190550258069971,0.00731703142960844
"433","9001548A",-118.466995291505,33.996215064198,402,0.34038950042337,216,0.182895850973751,0.064984807652312,6.60191467136001,0.003050771615908,4.40870830176378,0.035005574136009,1181,0.00909185704150695,-0.00666147986113245,-0.00938529204952802,0.0940522731850182,0.000400619728956026,9.60695174470283e-10,25.3386631311384,1.44190512959956e-11,0.0186363324293016,-0.00552993139919752,0.00186796969441109,9.1867848543775e-05,0.000260136719899378,0.141765548798303,7.78582599207371,0.00043082201813936,-0.000492882696147092,0.0576940761660152,0.00189407318508919,0.00721044913501829
