OBJECTID,Field1,precinct,X,Y,black,blackpct,white,whitepct,white_edudiff,black_edudiff,white_edudiff_se,black_edudiff_se,edu_dif,pop18,DeathZone
-1,1126,5100020A,-118.150817424059994,33.883010553482897,139,0.099002849002849,687,0.489316239316239,-0.049982817151635,0.062255079314986,7.393655635088300,5.785732162170710,-0.014669625246548,1404,1.000000000000000
-1,1127,5100021A,-118.171245253134003,33.899719245074600,473,0.250529661016949,307,0.162605932203390,-0.050618548187800,0.015363317604585,4.523123295385540,6.757077048009210,-0.063166953528399,1888,0.000000000000000
-1,1129,5100027A,-118.154477246514006,33.910974731571201,214,0.088502894954508,578,0.239040529363110,-0.026201970864283,0.069132606057563,4.625338448621830,5.603107118316300,-0.020360306707363,2418,0.000000000000000
-1,1131,5100054A,-118.173166228514006,33.892986810057899,461,0.239604989604990,271,0.140852390852391,0.011138337065632,0.072092422212670,4.287968794066040,5.869245463291180,0.076683087027915,1924,0.000000000000000
-1,1133,5150002A,-118.165640934235995,34.193495618955502,384,0.534075104311544,153,0.212795549374131,0.069914327221650,0.090594974754842,4.919807588891080,9.345712854712900,0.082958851000088,719,1.000000000000000
-1,1135,5150005A,-118.165497498861001,34.175423412300702,270,0.515267175572519,130,0.248091603053435,-0.002260433191729,0.050739594320500,4.533223948320580,7.438321588293100,0.009466977745872,524,1.000000000000000
-1,1136,5150006A,-118.162775608611000,34.171365297455999,417,0.688118811881188,49,0.080858085808581,0.008921021068927,0.040462467041087,3.770284187863910,12.241024311746999,0.035497295047857,606,1.000000000000000
-1,1137,5150007A,-118.158601258480999,34.177831854604200,538,0.517805582290664,81,0.077959576515881,-0.006943602164062,-0.019281936910356,4.104307768794720,8.577011287819071,-0.024679612737142,1039,1.000000000000000
-1,1138,5150008A,-118.153998326923002,34.169653744755202,515,0.507389162561576,49,0.048275862068966,0.020341847997724,0.039359592775841,4.148337380694210,7.394529503434030,0.019998688610583,1015,1.000000000000000
-1,1140,5150011B,-118.160500923404001,34.165201795744700,435,0.801104972375691,38,0.069981583793739,0.005626623466889,-0.021932153735548,4.089523660686540,17.144207628063199,-0.018518518518519,543,1.000000000000000
-1,1141,5150012A,-118.153152839311005,34.165833822094697,573,0.575301204819277,20,0.020080321285141,0.042137682764805,0.159364109317861,3.941285786869500,8.622620722870440,0.165684107098993,996,1.000000000000000
-1,1142,5150013A,-118.153802679847004,34.159621575255102,608,0.548241659152390,78,0.070333633904418,0.007073099779989,0.012151095173178,3.947793795993770,8.605874670577769,-0.002666979279623,1109,1.000000000000000
-1,1145,5150021A,-118.136517326019003,34.172138843260200,210,0.211055276381910,303,0.304522613065327,-0.048786177848260,0.038236381894734,5.355575130322350,6.779034339737180,-0.031077244882713,995,1.000000000000000
-1,1146,5150023A,-118.135148562500007,34.164192314144699,289,0.214710252600297,464,0.344725111441308,0.019608594240495,0.075139662978917,5.718321533937560,6.084709005118120,0.033726374198023,1346,1.000000000000000
-1,1153,5150040A,-118.152719012681004,34.176288347826102,548,0.484526967285588,250,0.221043324491600,0.020831658070350,0.061836082313456,4.367990684972100,7.216704724072650,0.051851851851852,1131,1.000000000000000
-1,1154,5150041A,-118.143896270270005,34.174041968203497,387,0.377560975609756,141,0.137560975609756,0.000633682260870,0.051009286029322,4.447199220781500,7.460309867143810,0.017543859649123,1025,1.000000000000000
-1,1155,5150042A,-118.145357791975997,34.177920511144102,421,0.411132812500000,94,0.091796875000000,0.013008653228161,0.058630738917210,3.896543588253780,6.881362075232410,0.055606829718505,1024,1.000000000000000
-1,1156,5150043A,-118.149539704887005,34.172682714285699,652,0.372997711670481,568,0.324942791762014,-0.051944903205052,0.040827504225607,5.113859916258300,6.566481147734930,-0.002884615384615,1748,1.000000000000000
-1,1157,5150045A,-118.144951398374005,34.164009392953901,299,0.516407599309154,47,0.081174438687392,0.008572327258614,0.008616819381775,4.374582566362760,8.224074255462909,-0.007575757575758,579,1.000000000000000
-1,1158,5150046A,-118.146561703762004,34.157566672413800,656,0.380069524913094,75,0.043453070683662,0.033045173601670,0.040821979650460,3.878478622333180,7.957170452936210,0.012222222222222,1726,1.000000000000000
-1,1159,5150052A,-118.139413854305005,34.160365759381897,434,0.181059657905715,243,0.101376720901126,0.001574537994402,0.048760187847436,4.260701142644880,6.624031733461110,-0.059647208583379,2397,1.000000000000000
-1,1160,5150053A,-118.139728080127995,34.165266685897400,521,0.428806584362140,286,0.235390946502058,0.026954707308060,0.060004594879773,4.805736187935780,7.118472919784990,0.036987359265130,1215,1.000000000000000
-1,1161,5150054A,-118.140926978102001,34.168336017031599,345,0.400232018561485,165,0.191415313225058,-0.026274263368841,0.031216135066014,4.406016729828060,7.169645497751770,-0.009206569511913,862,1.000000000000000
-1,1162,5150057A,-118.123863744898003,34.159186768707499,136,0.121645796064401,583,0.521466905187835,0.137013338133491,0.092420133754496,8.607351972911840,6.011591354528350,0.122315592903828,1118,1.000000000000000
-1,1169,5150072A,-118.105593717252006,34.148301961661303,122,0.111010009099181,575,0.523202911737944,-0.012839652811353,0.063088884782916,8.545421214194350,6.446230797164410,0.007619047619048,1099,1.000000000000000
-1,1196,5150114A,-118.143561250646002,34.137361100775202,112,0.090104585679807,865,0.695897023330652,-0.029393932481474,0.068775575659920,14.041582347426100,6.173132045288430,-0.011090347741306,1243,1.000000000000000
-1,1197,5150116A,-118.144091156206002,34.141258184100401,154,0.108374384236453,1019,0.717100633356791,0.011276062225509,0.081047733604193,16.592856085639799,5.799194124419200,0.022611788617886,1421,1.000000000000000
-1,1203,5150128A,-118.147881782734004,34.163678202877698,618,0.421555252387449,38,0.025920873124147,0.032846315842841,0.094083594699270,4.295004404257030,6.396980375067650,0.098557692307692,1466,1.000000000000000
-1,1208,5150164A,-118.154616831878002,34.166161805676900,431,0.560468140442133,97,0.126137841352406,-0.042536145798279,-0.041851954754731,4.123008102803010,9.533878290579990,-0.054563492063492,769,1.000000000000000
-1,1209,5150166A,-118.137180436364005,34.176852436363603,192,0.219428571428571,350,0.400000000000000,-0.112667054946512,0.037179305106247,6.186110428035600,6.247800297386250,-0.063370699151169,875,1.000000000000000
-1,1210,5150167A,-118.115522833333003,34.151040879629598,116,0.146095717884131,433,0.545340050377834,0.040072634096429,0.089482983139287,8.550810169837650,5.663556399988990,0.052538226299694,794,1.000000000000000
-1,1218,5150191A,-118.129272685800998,34.173661386706897,176,0.140462889066241,709,0.565841979249801,-0.028741870473790,0.073315872242926,9.326088844447099,6.041359538467630,0.004541198501873,1253,1.000000000000000
-1,1220,5150193A,-118.164573725051000,34.167433244399199,309,0.589694656488550,153,0.291984732824427,0.013832500463261,0.046617549824293,4.922389240103530,9.188701978770290,0.033510029034922,524,1.000000000000000
-1,1221,5150194B,-118.153765282050998,34.152362991453003,314,0.386223862238622,44,0.054120541205412,-0.006367061806594,0.038834487481272,3.925947310850090,6.213812834927960,-0.005354411014788,813,1.000000000000000
-1,1222,5150195A,-118.160957066666995,34.154650066666697,130,0.228873239436620,335,0.589788732394366,-0.058724823484588,0.049712135011544,9.841246631393471,6.918866730131110,-0.027624309392265,568,1.000000000000000
-1,1224,5150202A,-118.135082465908994,34.154805340909100,115,0.123126338329764,583,0.624197002141328,0.001988245332587,0.074464121701541,11.151185420597100,5.834843303752310,0.020725785842065,934,1.000000000000000
-1,1225,5150203A,-118.133652330827005,34.147505090225600,209,0.240506329113924,206,0.237054085155351,0.060873381718841,0.070428640788952,4.328806264914660,6.328785484307390,0.062924528301887,869,1.000000000000000
-1,1227,5150205A,-118.104834665713994,34.147175537142900,156,0.112068965517241,836,0.600574712643678,-0.069525995752020,0.059104130516772,10.465087755903300,5.965398314698920,-0.034491482543431,1392,1.000000000000000
-1,1231,5150210A,-118.190286000000000,34.153887888888903,210,0.201535508637236,358,0.343570057581574,-0.051121853936143,0.049164947488935,5.658019372112780,6.155139971989270,-0.023182957393484,1042,1.000000000000000
-1,1232,5150212A,-118.125246818712995,34.173564853801203,148,0.165919282511211,559,0.626681614349776,-0.082648779634696,0.057931600488287,12.450523407308300,6.662980202876020,-0.042013662979831,892,1.000000000000000
-1,1233,5150213A,-118.146595508299001,34.128278941908697,505,0.151424287856072,382,0.114542728635682,0.003622692464603,0.063638905877811,4.049148543411520,6.419505316557830,0.017992424242424,3335,1.000000000000000
-1,1236,5150216A,-118.125905330826996,34.148410308270698,387,0.213458356315499,789,0.435190292333149,-0.068111914725868,0.046159930491267,7.444921793629850,6.508072398382570,-0.031730769230769,1813,1.000000000000000
-1,1511,6250052B,-118.483114649230998,34.024041746153799,117,0.102451838879159,714,0.625218914185639,0.028214146119369,0.078136763013661,11.048656134181201,6.043376784124810,0.036967418546366,1142,1.000000000000000
-1,1513,6250055A,-118.480146048386999,34.020942064516099,114,0.089271730618637,839,0.657008613938919,-0.029315052359370,0.068269124479459,13.260838967002799,6.371782058224300,-0.010498944513568,1277,1.000000000000000
-1,1517,6250061A,-118.469938840265996,34.022304921797001,355,0.254115962777380,268,0.191839656406586,-0.019995340229451,0.047932897914234,4.416100858694300,6.295302166640130,-0.011801730920535,1397,1.000000000000000
-1,1518,6250062A,-118.472928349265004,34.020223292892197,498,0.367799113737075,319,0.235598227474151,0.092540441190903,0.090638219749800,4.887109983698700,7.576689964507820,0.103724658180104,1354,1.000000000000000
-1,1519,6250063A,-118.478537605415994,34.017701889748601,165,0.187074829931973,281,0.318594104308390,-0.008445739555384,0.068203794933162,5.288391465791770,6.625880803617470,0.029629629629630,882,1.000000000000000
-1,1526,6250071A,-118.464352527507998,34.024077459546902,171,0.123644251626898,532,0.384671005061461,-0.044026537328710,0.054386535923514,6.295444220269240,6.265674927001540,-0.018691588785047,1383,1.000000000000000
-1,1595,6550055A,-118.180384805936001,33.936223639269400,211,0.126423007789095,293,0.175554224086279,0.059764567184161,0.078228477718783,4.383989975483850,6.017076386994810,0.105503439649781,1669,0.000000000000000
-1,1608,6600008A,-118.148264769231005,34.122397144927497,118,0.080601092896175,984,0.672131147540984,0.024738796230548,0.063069765121455,12.701692159717799,6.194107321737720,0.022708158116064,1464,1.000000000000000
-1,1826,7850011A,-118.233381859603000,33.926379990679898,403,0.588321167883212,4,0.005839416058394,0.031780439779616,0.040219322101029,4.277630797203990,9.104397734192951,0.034659593280283,685,0.000000000000000
-1,1827,7850018A,-118.254811884911007,33.897507892248498,549,0.710219922380336,6,0.007761966364812,0.027939627444139,0.040441759836784,4.338988012884980,12.317851798081900,0.034033613445378,773,0.000000000000000
-1,1828,7850020A,-118.261104741273996,33.898481029622602,851,0.769439421338155,33,0.029837251356239,0.010617438879165,0.089948962830681,4.298512629575780,16.431830835647400,0.079282687651332,1106,0.000000000000000
-1,1829,7850024A,-118.227850136480996,33.917940286712998,411,0.279591836734694,12,0.008163265306122,0.030786941154706,0.067124513808154,4.112586791259570,6.450381207481840,0.082154882154882,1470,0.000000000000000
-1,1830,7850040A,-118.236938946500004,33.922118641733299,804,0.614209320091673,7,0.005347593582888,0.021869131355172,0.098037160517324,3.998348366048440,9.814753957746991,0.095247076574878,1309,0.000000000000000
-1,1831,7850041A,-118.245972396636006,33.926274531716203,441,0.510416666666667,30,0.034722222222222,0.046942945779859,0.170985189059391,4.265294989216210,8.283371078306820,0.166666666666667,864,0.000000000000000
